source,target,weight
21857,39309,146
3806,21857,33
37348,3806,33
37349,37348,33
37350,37349,33
22929,37350,34
37351,22929,17
37353,37351,33
39679,37353,33
37352,39679,33
22929,37352,33
156,22929,17
37351,156,16
3980,3988,128
4230,3980,151
4230,4230,67
11287,4230,67
4231,11287,67
703,4231,63
696,703,503
702,696,503
695,702,503
4020,4015,112
4512,4020,54
4060,4512,30
4059,4060,15
3902,4059,7
3904,3902,31
3905,3904,25
3907,3905,16
3908,3907,57
4043,4021,45
4019,4043,137
22980,4019,252
4018,22980,247
4053,4018,23
4052,4053,209
4030,4052,15
4053,4030,20
4015,4053,109
21327,4060,35
4510,21327,27
4072,4510,46
10530,4072,38
4510,10530,33
4466,4060,22
4493,4059,29
4494,4493,16
4492,4494,11
4493,4492,13
4496,4059,15
4495,4496,26
3902,4496,11
3903,3904,6
3905,3903,32
3907,3902,2
4015,4018,225
4492,21327,2
3906,3907,20
3905,3906,11
3903,3907,22
3905,3905,9
21327,4494,5
4017,4043,3
4073,4510,35
4081,4073,35
4082,4081,35
4080,4082,24
4487,4080,41
13071,4080,17
4079,13071,17
4078,4079,17
4077,4078,32
4076,4077,32
4463,4076,32
4510,4463,17
4031,4020,60
10838,4031,36
10839,10838,36
4074,10839,36
10840,4074,14
16478,10840,18
4072,16478,15
10841,4074,22
4509,10841,18
4083,4509,11
4082,4083,11
10841,10840,4
4017,4021,5
16478,10530,3
4509,4487,7
4053,4020,2
24241,24240,5
24242,24241,5
24243,24242,6
282,24243,5
3986,282,415
3979,3986,175
24246,3979,10
24245,24246,20
24247,24246,10
24300,24247,10
40275,24300,10
24248,40275,12
24249,24248,12
3985,24249,12
3988,3985,12
24242,24239,1
39680,24243,1
282,39680,2
3986,40275,2
22928,3986,5
32977,22928,5
37525,32977,5
37526,37525,5
37527,37526,5
3987,37527,5
25441,3987,5
3984,25441,5
24236,3984,5
24237,24236,6
24238,24237,6
24239,24238,6
24240,24239,5
24236,3986,1
3893,3896,13
3914,3893,13
3913,3914,13
3912,3913,47
3911,3912,47
3899,3911,12
3900,3899,29
3901,3900,13
3902,3901,13
22719,232,289
3849,22719,289
3862,3849,89
3836,3862,29
3854,3836,58
3845,3854,81
3846,3845,70
3847,3846,58
3884,3847,58
3886,3884,58
3887,3886,53
3888,3887,54
3889,3888,54
3889,3889,22
3891,3889,45
3890,3891,44
3894,3890,16
3897,3894,47
3897,3897,7
3898,3897,2
3895,3898,8
3892,3895,8
