lat,lon,wheelchair
52.3430371,13.4350416,limited
52.362828,13.4305016,unknown
52.3418745,13.4184907,no
52.350834,13.4265587,no
52.3622465,13.4283782,unknown
52.3437041,13.4357241,yes
52.3413046,13.4344017,no
52.3404621,13.43468,unknown
52.3388802,13.4347783,limited
52.33834,13.4357856,unknown
52.3606346,13.4078294,yes
52.3580563,13.4135465,unknown
52.360857,13.4121289,unknown
52.3644181,13.5936814,yes
52.3597222,13.592799,unknown
52.3666704,13.6084084,no
52.3667194,13.6084094,no
52.3644971,13.5939325,yes
52.3611758,13.4113876,no
52.3454287,13.5509428,unknown
52.3495826,13.6280795,unknown
52.3399077,13.613156,unknown
52.3405327,13.6122316,unknown
52.3449144,13.6129547,unknown
52.3445599,13.6128176,unknown
52.367908,13.3129897,no
52.3535108,13.3076509,unknown
52.3535179,13.3078815,unknown
52.3656687,13.3072162,unknown
52.3642923,13.3076535,unknown
52.3653266,13.3139755,no
52.359364,13.3098093,yes
52.3563566,13.3076555,unknown
52.3609223,13.3323647,limited
52.3528083,13.3005767,unknown
52.3484751,13.3061192,unknown
52.3488159,13.3068659,unknown
52.3527226,13.3073637,unknown
52.3487725,13.29776,unknown
52.3540176,13.3075496,unknown
52.3482724,13.3084844,unknown
52.3943929,13.4191773,unknown
52.3928109,13.4102691,yes
52.3992861,13.416928,unknown
52.4068593,13.4096011,unknown
52.3895378,13.4099633,unknown
52.3942311,13.4102427,yes
52.3942978,13.4120989,unknown
52.394551,13.4163487,yes
52.3946289,13.4159219,yes
52.3921844,13.4200089,unknown
52.4148786,13.4019319,unknown
52.4146587,13.4021404,unknown
52.3875798,13.4171053,unknown
52.4095908,13.405787,unknown
52.3877781,13.4096933,yes
52.3906613,13.4200707,unknown
52.3869662,13.4085609,unknown
52.3870017,13.4090131,unknown
52.4077383,13.4053806,unknown
52.3991271,13.4066589,yes
52.4121143,13.4193152,yes
52.3983822,13.4049492,yes
52.4110172,13.4034783,unknown
52.4221808,13.7538315,unknown
52.4078499,13.7497401,unknown
52.4281692,13.7433883,yes
52.3885648,13.7414019,unknown
52.3901982,13.7426323,unknown
52.390395,13.7428683,unknown
52.3974353,13.7185698,unknown
52.3903913,13.7462502,unknown
