region,amount,age
Mitte,36230,10
Friedrichshain-Kreuzberg,28125,10
Pankow,44127,10
Charlottenburg-Wilmersdorf,26234,10
Spandau,24996,10
Steglitz-Zehlendorf,26855,10
Tempelhof-Schöneberg,31745,10
Neukölln,31993,10
Treptow-Köpenick,26433,10
Marzahn-Hellersdorf,28114,10
Lichtenberg,30767,10
Reinickendorf,25808,10
Mitte,29741,20
Friedrichshain-Kreuzberg,20688,20
Pankow,34278,20
Charlottenburg-Wilmersdorf,23973,20
Spandau,23051,20
Steglitz-Zehlendorf,27471,20
Tempelhof-Schöneberg,28196,20
Neukölln,27405,20
Treptow-Köpenick,20719,20
Marzahn-Hellersdorf,23635,20
Lichtenberg,22588,20
Reinickendorf,24566,20
Mitte,72465,30
Friedrichshain-Kreuzberg,47011,30
Pankow,45701,30
Charlottenburg-Wilmersdorf,44965,30
Spandau,30111,30
Steglitz-Zehlendorf,33880,30
Tempelhof-Schöneberg,44718,30
Neukölln,46192,30
Treptow-Köpenick,30297,30
Marzahn-Hellersdorf,26522,30
Lichtenberg,38000,30
Reinickendorf,31562,30
Mitte,81469,40
Friedrichshain-Kreuzberg,72535,40
Pankow,79989,40
Charlottenburg-Wilmersdorf,51136,40
Spandau,33516,40
Steglitz-Zehlendorf,37076,40
Tempelhof-Schöneberg,53504,40
Neukölln,63186,40
Treptow-Köpenick,45989,40
Marzahn-Hellersdorf,42557,40
Lichtenberg,55814,40
Reinickendorf,34408,40
Mitte,51460,50
Friedrichshain-Kreuzberg,45031,50
Pankow,65658,50
Charlottenburg-Wilmersdorf,43026,50
Spandau,28848,50
Steglitz-Zehlendorf,36782,50
Tempelhof-Schöneberg,43334,50
Neukölln,41616,50
Treptow-Köpenick,33479,50
Marzahn-Hellersdorf,29882,50
Lichtenberg,34683,50
Reinickendorf,30450,50
Mitte,47974,60
Friedrichshain-Kreuzberg,35685,60
Pankow,60245,60
Charlottenburg-Wilmersdorf,52168,60
Spandau,36691,60
Steglitz-Zehlendorf,49089,60
Tempelhof-Schöneberg,54115,60
Neukölln,44579,60
Treptow-Köpenick,41530,60
Marzahn-Hellersdorf,42159,60
Lichtenberg,38135,60
Reinickendorf,40920,60
Mitte,31088,70
Friedrichshain-Kreuzberg,20823,70
Pankow,33490,70
Charlottenburg-Wilmersdorf,42514,70
Spandau,27739,70
Steglitz-Zehlendorf,37568,70
Tempelhof-Schöneberg,40840,70
Neukölln,32104,70
Treptow-Köpenick,28604,70
Marzahn-Hellersdorf,40199,70
Lichtenberg,31593,70
Reinickendorf,31143,70
Mitte,21558,80
Friedrichshain-Kreuzberg,12501,80
Pankow,25375,80
Charlottenburg-Wilmersdorf,37257,80
Spandau,24180,80
Steglitz-Zehlendorf,36750,80
Tempelhof-Schöneberg,33643,80
Neukölln,26543,80
Treptow-Köpenick,23985,80
Marzahn-Hellersdorf,22944,80
Lichtenberg,24638,80
Reinickendorf,28915,80
Mitte,11940,90
Friedrichshain-Kreuzberg,6761,90
Pankow,17696,90
Charlottenburg-Wilmersdorf,18296,90
Spandau,13849,90
Steglitz-Zehlendorf,20448,90
Tempelhof-Schöneberg,17649,90
Neukölln,14284,90
Treptow-Köpenick,19704,90
Marzahn-Hellersdorf,12089,90
Lichtenberg,15597,90
Reinickendorf,16144,90
Mitte,1823,100
Friedrichshain-Kreuzberg,1226,100
Pankow,2776,100
Charlottenburg-Wilmersdorf,4023,100
Spandau,2216,100
Steglitz-Zehlendorf,4152,100
Tempelhof-Schöneberg,3240,100
Neukölln,2015,100
Treptow-Köpenick,2949,100
Marzahn-Hellersdorf,1866,100
Lichtenberg,2386,100
Reinickendorf,2492,100
